Tanggal;Produk;Kategori;Region;Sales_Rep;Qty;Harga_Satuan;Total_Penjualan
02/01/2024;Laptop;Elektronik;Jakarta;Budi Santoso;2;8500000;17000000
05/01/2024;Mouse;Aksesoris;Surabaya;Sari Dewi;10;150000;1500000
08/01/2024;Keyboard;Aksesoris;Bandung;Ahmad Fauzi;5;350000;1750000
10/01/2024;Monitor;Elektronik;Jakarta;Rina Kusuma;3;3500000;10500000
12/01/2024;Headset;Elektronik;Medan;Dodi Pratama;8;500000;4000000
15/01/2024;Laptop;Elektronik;Surabaya;Budi Santoso;1;8500000;8500000
18/01/2024;Mouse;Aksesoris;Makassar;Sari Dewi;20;150000;3000000
22/01/2024;Keyboard;Aksesoris;Jakarta;Ahmad Fauzi;7;350000;2450000
25/01/2024;Monitor;Elektronik;Bandung;Rina Kusuma;2;3500000;7000000
30/01/2024;Headset;Elektronik;Surabaya;Dodi Pratama;4;500000;2000000
02/02/2024;Laptop;Elektronik;Medan;Budi Santoso;3;8500000;25500000
06/02/2024;Mouse;Aksesoris;Jakarta;Sari Dewi;15;150000;2250000
09/02/2024;Keyboard;Aksesoris;Surabaya;Ahmad Fauzi;6;350000;2100000
13/02/2024;Monitor;Elektronik;Makassar;Rina Kusuma;1;3500000;3500000
16/02/2024;Headset;Elektronik;Bandung;Dodi Pratama;12;500000;6000000
20/02/2024;Laptop;Elektronik;Jakarta;Budi Santoso;2;8500000;17000000
23/02/2024;Mouse;Aksesoris;Medan;Sari Dewi;18;150000;2700000
27/02/2024;Keyboard;Aksesoris;Makassar;Ahmad Fauzi;4;350000;1400000
01/03/2024;Monitor;Elektronik;Surabaya;Rina Kusuma;4;3500000;14000000
05/03/2024;Headset;Elektronik;Jakarta;Dodi Pratama;6;500000;3000000
08/03/2024;Laptop;Elektronik;Bandung;Budi Santoso;1;8500000;8500000
12/03/2024;Mouse;Aksesoris;Jakarta;Sari Dewi;12;150000;1800000
15/03/2024;Keyboard;Aksesoris;Surabaya;Ahmad Fauzi;8;350000;2800000
19/03/2024;Monitor;Elektronik;Medan;Rina Kusuma;2;3500000;7000000
22/03/2024;Headset;Elektronik;Makassar;Dodi Pratama;9;500000;4500000
26/03/2024;Laptop;Elektronik;Jakarta;Budi Santoso;4;8500000;34000000
29/03/2024;Mouse;Aksesoris;Bandung;Sari Dewi;20;150000;3000000
02/04/2024;Keyboard;Aksesoris;Jakarta;Ahmad Fauzi;3;350000;1050000
05/04/2024;Monitor;Elektronik;Surabaya;Rina Kusuma;5;3500000;17500000
09/04/2024;Headset;Elektronik;Medan;Dodi Pratama;7;500000;3500000
12/04/2024;Laptop;Elektronik;Makassar;Budi Santoso;2;8500000;17000000
16/04/2024;Mouse;Aksesoris;Jakarta;Sari Dewi;8;150000;1200000
19/04/2024;Keyboard;Aksesoris;Bandung;Ahmad Fauzi;10;350000;3500000
23/04/2024;Monitor;Elektronik;Surabaya;Rina Kusuma;3;3500000;10500000
26/04/2024;Headset;Elektronik;Jakarta;Dodi Pratama;15;500000;7500000
30/04/2024;Laptop;Elektronik;Medan;Budi Santoso;1;8500000;8500000
03/05/2024;Mouse;Aksesoris;Makassar;Sari Dewi;14;150000;2100000
07/05/2024;Keyboard;Aksesoris;Jakarta;Ahmad Fauzi;6;350000;2100000
10/05/2024;Monitor;Elektronik;Bandung;Rina Kusuma;2;3500000;7000000
14/05/2024;Headset;Elektronik;Surabaya;Dodi Pratama;11;500000;5500000
17/05/2024;Laptop;Elektronik;Jakarta;Budi Santoso;3;8500000;25500000
21/05/2024;Mouse;Aksesoris;Medan;Sari Dewi;16;150000;2400000
24/05/2024;Keyboard;Aksesoris;Makassar;Ahmad Fauzi;5;350000;1750000
28/05/2024;Monitor;Elektronik;Jakarta;Rina Kusuma;4;3500000;14000000
31/05/2024;Headset;Elektronik;Bandung;Dodi Pratama;8;500000;4000000
04/06/2024;Laptop;Elektronik;Surabaya;Budi Santoso;2;8500000;17000000
07/06/2024;Mouse;Aksesoris;Jakarta;Sari Dewi;20;150000;3000000
11/06/2024;Keyboard;Aksesoris;Medan;Ahmad Fauzi;9;350000;3150000
14/06/2024;Monitor;Elektronik;Makassar;Rina Kusuma;1;3500000;3500000
18/06/2024;Headset;Elektronik;Jakarta;Dodi Pratama;13;500000;6500000
21/06/2024;Laptop;Elektronik;Bandung;Budi Santoso;5;8500000;42500000
25/06/2024;Mouse;Aksesoris;Surabaya;Sari Dewi;11;150000;1650000
28/06/2024;Keyboard;Aksesoris;Jakarta;Ahmad Fauzi;7;350000;2450000
02/07/2024;Monitor;Elektronik;Medan;Rina Kusuma;3;3500000;10500000
05/07/2024;Headset;Elektronik;Makassar;Dodi Pratama;6;500000;3000000
09/07/2024;Laptop;Elektronik;Jakarta;Budi Santoso;2;8500000;17000000
12/07/2024;Mouse;Aksesoris;Bandung;Sari Dewi;17;150000;2550000
16/07/2024;Keyboard;Aksesoris;Surabaya;Ahmad Fauzi;4;350000;1400000
19/07/2024;Monitor;Elektronik;Jakarta;Rina Kusuma;6;3500000;21000000
23/07/2024;Headset;Elektronik;Medan;Dodi Pratama;10;500000;5000000
26/07/2024;Laptop;Elektronik;Makassar;Budi Santoso;1;8500000;8500000
30/07/2024;Mouse;Aksesoris;Jakarta;Sari Dewi;13;150000;1950000
02/08/2024;Keyboard;Aksesoris;Bandung;Ahmad Fauzi;8;350000;2800000
06/08/2024;Monitor;Elektronik;Surabaya;Rina Kusuma;2;3500000;7000000
09/08/2024;Headset;Elektronik;Jakarta;Dodi Pratama;14;500000;7000000
13/08/2024;Laptop;Elektronik;Medan;Budi Santoso;3;8500000;25500000
16/08/2024;Mouse;Aksesoris;Makassar;Sari Dewi;9;150000;1350000
20/08/2024;Keyboard;Aksesoris;Jakarta;Ahmad Fauzi;11;350000;3850000
23/08/2024;Monitor;Elektronik;Bandung;Rina Kusuma;4;3500000;14000000
27/08/2024;Headset;Elektronik;Surabaya;Dodi Pratama;7;500000;3500000
30/08/2024;Laptop;Elektronik;Jakarta;Budi Santoso;2;8500000;17000000
